LECROYWS3024,12427,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,14-Oct-2021 10:43:03,0                 
Time,Ampl
-0.2500037,0.19
-0.2499987,0.19
-0.2499937,0.19
-0.2499887,0.19
-0.2499837,0.193333
-0.2499787,0.19
-0.2499737,0.19
-0.2499687,0.193333
-0.2499637,0.19
-0.2499587,0.19
-0.2499537,0.19
-0.2499487,0.19
-0.2499437,0.19
-0.2499387,0.193333
-0.2499337,0.19
-0.2499287,0.19
-0.2499237,0.19
-0.2499187,0.19
-0.2499137,0.19
-0.2499087,0.19
-0.2499037,0.193333
-0.2498987,0.19
-0.2498937,0.193333
-0.2498887,0.19
-0.2498837,0.19
-0.2498787,0.193333
-0.2498737,0.19
-0.2498687,0.19
-0.2498637,0.19
-0.2498587,0.19
-0.2498537,0.19
-0.2498487,0.19
-0.2498437,0.196667
-0.2498387,0.193333
-0.2498337,0.19
-0.2498287,0.19
-0.2498237,0.19
-0.2498187,0.193333
-0.2498137,0.19
-0.2498087,0.19
-0.2498037,0.19
-0.2497987,0.19
-0.2497937,0.193333
-0.2497887,0.193333
-0.2497837,0.19
-0.2497787,0.19
-0.2497737,0.19
-0.2497687,0.19
-0.2497637,0.19
-0.2497587,0.19
-0.2497537,0.19
-0.2497487,0.19
-0.2497437,0.19
-0.2497387,0.19
-0.2497337,0.19
-0.2497287,0.19
-0.2497237,0.19
-0.2497187,0.19
-0.2497137,0.19
-0.2497087,0.19
-0.2497037,0.19
-0.2496987,0.19
-0.2496937,0.19
-0.2496887,0.19
-0.2496837,0.19
-0.2496787,0.193333
-0.2496737,0.19
-0.2496687,0.19
-0.2496637,0.19
-0.2496587,0.193333
-0.2496537,0.19
-0.2496487,0.19
-0.2496437,0.19
-0.2496387,0.19
-0.2496337,0.19
-0.2496287,0.19
-0.2496237,0.19
-0.2496187,0.19
-0.2496137,0.19
-0.2496087,0.19
-0.2496037,0.19
-0.2495987,0.19
-0.2495937,0.2
-0.2495887,0.19
-0.2495837,0.19
-0.2495787,0.19
-0.2495737,0.19
-0.2495687,0.19
-0.2495637,0.19
-0.2495587,0.19
-0.2495537,0.193333
-0.2495487,0.19
-0.2495437,0.193333
-0.2495387,0.19
-0.2495337,0.19
-0.2495287,0.193333
-0.2495237,0.193333
