LECROYWS3024,12427,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,14-Oct-2021 10:46:05,0                 
Time,Ampl
-0.50000613,0.0333333
-0.49999613,0.0366667
-0.49998613,0.0333333
-0.49997613,0.035
-0.49996613,0.0333333
-0.49995613,0.0333333
-0.49994613,0.0333333
-0.49993613,0.0366667
-0.49992613,0.035
-0.49991613,0.0333333
-0.49990613,0.0333333
-0.49989613,0.0333333
-0.49988613,0.0333333
-0.49987613,0.0333333
-0.49986613,0.0316667
-0.49985613,0.0333333
-0.49984613,0.025
-0.49983613,0.0333333
-0.49982613,0.035
-0.49981613,0.0316667
-0.49980613,0.0333333
-0.49979613,0.0316667
-0.49978613,0.0316667
-0.49977613,0.03
-0.49976613,0.0283333
-0.49975613,0.0283333
-0.49974613,0.025
-0.49973613,0.0333333
-0.49972613,0.03
-0.49971613,0.03
-0.49970613,0.03
-0.49969613,0.0333333
-0.49968613,0.03
-0.49967613,0.03
-0.49966613,0.03
-0.49965613,0.0316667
-0.49964613,0.035
-0.49963613,0.0266667
-0.49962613,0.0316667
-0.49961613,0.0283333
-0.49960613,0.0283333
-0.49959613,0.0283333
-0.49958613,0.0266667
-0.49957613,0.0283333
-0.49956613,0.0266667
-0.49955613,0.0266667
-0.49954613,0.0266667
-0.49953613,0.0283333
-0.49952613,0.0283333
-0.49951613,0.0266667
-0.49950613,0.0266667
-0.49949613,0.0266667
-0.49948613,0.03
-0.49947613,0.0283333
-0.49946613,0.0266667
-0.49945613,0.0266667
-0.49944613,0.025
-0.49943613,0.025
-0.49942613,0.025
-0.49941613,0.025
-0.49940613,0.0266667
-0.49939613,0.0266667
-0.49938613,0.025
-0.49937613,0.025
-0.49936613,0.025
-0.49935613,0.025
-0.49934613,0.0216667
-0.49933613,0.0233333
-0.49932613,0.0233333
-0.49931613,0.025
-0.49930613,0.0233333
-0.49929613,0.0233333
-0.49928613,0.0216667
-0.49927613,0.02
-0.49926613,0.0233333
-0.49925613,0.02
-0.49924613,0.0233333
-0.49923613,0.0233333
-0.49922613,0.03
-0.49921613,0.0233333
-0.49920613,0.0233333
-0.49919613,0.0216667
-0.49918613,0.0216667
-0.49917613,0.0216667
-0.49916613,0.0233333
-0.49915613,0.0216667
-0.49914613,0.0166667
-0.49913613,0.02
-0.49912613,0.02
-0.49911613,0.0216667
-0.49910613,0.0216667
-0.49909613,0.0166667
-0.49908613,0.02
-0.49907613,0.0233333
-0.49906613,0.0216667
-0.49905613,0.02
-0.49904613,0.02
-0.49903613,0.0183333
-0.49902613,0.02
-0.49901613,0.02
-0.49900613,0.0183333
-0.49899613,0.0166667
-0.49898613,0.0483333
-0.49897613,0.02
-0.49896613,0.0183333
-0.49895613,0.02
-0.49894613,0.02
-0.49893613,0.02
-0.49892613,0.0183333
-0.49891613,0.0183333
-0.49890613,0.0183333
-0.49889613,0.0166667
-0.49888613,0.015
-0.49887613,0.0166667
-0.49886613,0.0183333
-0.49885613,0.0166667
-0.49884613,0.0166667
-0.49883613,0.0166667
-0.49882613,0.0166667
-0.49881613,0.0166667
-0.49880613,0.015
-0.49879613,0.015
-0.49878613,0.0183333
-0.49877613,0.0133333
-0.49876613,0.015
-0.49875613,0.0166667
-0.49874613,0.0166667
-0.49873613,0.0166667
-0.49872613,0.015
-0.49871613,0.01
-0.49870613,0.015
-0.49869613,0.0216667
-0.49868613,0.015
-0.49867613,0.0116667
-0.49866613,0.0133333
-0.49865613,0.0116667
-0.49864613,0.0133333
-0.49863613,0.0133333
-0.49862613,0.0166667
-0.49861613,0.0133333
-0.49860613,0.0116667
-0.49859613,0.0116667
-0.49858613,0.0133333
-0.49857613,0.0116667
-0.49856613,0.0116667
-0.49855613,0.01
-0.49854613,0.0116667
-0.49853613,0.0116667
