LECROYWS3024,12427,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,14-Oct-2021 12:48:00,0                 
Time,Ampl
-0.2500027,0.17
-0.2499977,0.17
-0.2499927,0.173333
-0.2499877,0.17
-0.2499827,0.17
-0.2499777,0.166667
-0.2499727,0.17
-0.2499677,0.163333
-0.2499627,0.17
-0.2499577,0.17
-0.2499527,0.17
-0.2499477,0.17
-0.2499427,0.17
-0.2499377,0.17
-0.2499327,0.17
-0.2499277,0.17
-0.2499227,0.17
-0.2499177,0.17
-0.2499127,0.166667
-0.2499077,0.17
-0.2499027,0.166667
-0.2498977,0.166667
-0.2498927,0.17
-0.2498877,0.166667
-0.2498827,0.17
-0.2498777,0.166667
-0.2498727,0.166667
-0.2498677,0.17
-0.2498627,0.17
-0.2498577,0.17
-0.2498527,0.17
-0.2498477,0.166667
-0.2498427,0.17
-0.2498377,0.166667
-0.2498327,0.17
-0.2498277,0.166667
-0.2498227,0.166667
-0.2498177,0.166667
-0.2498127,0.166667
-0.2498077,0.166667
-0.2498027,0.17
-0.2497977,0.166667
-0.2497927,0.163333
-0.2497877,0.166667
-0.2497827,0.166667
-0.2497777,0.163333
-0.2497727,0.166667
-0.2497677,0.166667
-0.2497627,0.166667
-0.2497577,0.163333
-0.2497527,0.166667
-0.2497477,0.166667
-0.2497427,0.166667
-0.2497377,0.166667
-0.2497327,0.17
-0.2497277,0.166667
-0.2497227,0.163333
-0.2497177,0.16
-0.2497127,0.166667
-0.2497077,0.166667
-0.2497027,0.166667
-0.2496977,0.163333
-0.2496927,0.163333
-0.2496877,0.163333
-0.2496827,0.166667
-0.2496777,0.166667
-0.2496727,0.163333
-0.2496677,0.166667
-0.2496627,0.163333
-0.2496577,0.163333
-0.2496527,0.163333
-0.2496477,0.163333
-0.2496427,0.163333
-0.2496377,0.166667
-0.2496327,0.166667
-0.2496277,0.163333
-0.2496227,0.163333
-0.2496177,0.16
-0.2496127,0.16
-0.2496077,0.163333
-0.2496027,0.163333
-0.2495977,0.163333
-0.2495927,0.16
-0.2495877,0.16
-0.2495827,0.166667
-0.2495777,0.163333
-0.2495727,0.163333
-0.2495677,0.163333
-0.2495627,0.163333
-0.2495577,0.16
-0.2495527,0.163333
-0.2495477,0.156667
-0.2495427,0.16
-0.2495377,0.163333
-0.2495327,0.163333
-0.2495277,0.163333
-0.2495227,0.16
-0.2495177,0.16
-0.2495127,0.16
-0.2495077,0.163333
-0.2495027,0.163333
-0.2494977,0.16
-0.2494927,0.16
-0.2494877,0.16
-0.2494827,0.16
-0.2494777,0.16
-0.2494727,0.16
-0.2494677,0.15
-0.2494627,0.17
-0.2494577,0.156667
-0.2494527,0.163333
-0.2494477,0.16
-0.2494427,0.16
-0.2494377,0.16
-0.2494327,0.16
-0.2494277,0.16
-0.2494227,0.16
-0.2494177,0.16
-0.2494127,0.16
-0.2494077,0.156667
-0.2494027,0.16
-0.2493977,0.16
-0.2493927,0.16
-0.2493877,0.16
-0.2493827,0.16
-0.2493777,0.16
-0.2493727,0.16
-0.2493677,0.16
-0.2493627,0.156667
-0.2493577,0.16
-0.2493527,0.16
-0.2493477,0.156667
-0.2493427,0.156667
-0.2493377,0.156667
-0.2493327,0.16
-0.2493277,0.16
-0.2493227,0.156667
-0.2493177,0.16
-0.2493127,0.16
-0.2493077,0.16
-0.2493027,0.156667
-0.2492977,0.16
-0.2492927,0.156667
-0.2492877,0.16
-0.2492827,0.153333
-0.2492777,0.156667
-0.2492727,0.153333
-0.2492677,0.16
-0.2492627,0.156667
-0.2492577,0.156667
-0.2492527,0.16
-0.2492477,0.156667
-0.2492427,0.16
-0.2492377,0.153333
-0.2492327,0.16
-0.2492277,0.156667
-0.2492227,0.16
-0.2492177,0.16
-0.2492127,0.156667
-0.2492077,0.16
-0.2492027,0.156667
-0.2491977,0.16
-0.2491927,0.156667
-0.2491877,0.156667
