LECROYWS3024,12427,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,14-Oct-2021 12:57:18,0                 
Time,Ampl
-0.10000189,-0.06
-0.099999892,-0.0666667
-0.099997892,-0.06
-0.099995892,-0.06
-0.099993892,-0.0533333
-0.099991892,-0.06
-0.099989892,-0.0466667
-0.099987892,-0.0533333
-0.099985892,-0.0533333
-0.099983892,-0.0533333
-0.099981892,-0.0533333
-0.099979892,-0.0466667
-0.099977892,-0.0466667
-0.099975892,-0.0466667
-0.099973892,-0.0466667
-0.099971892,-0.0466667
-0.099969892,-0.0666667
-0.099967892,-0.0466667
-0.099965892,-0.0466667
-0.099963892,-0.0466667
-0.099961892,-0.0466667
-0.099959892,-0.0533333
-0.099957892,-0.04
-0.099955892,-0.04
-0.099953892,-0.04
-0.099951892,-0.04
-0.099949892,-0.04
-0.099947892,-0.04
-0.099945892,-0.04
-0.099943892,-0.0333333
-0.099941892,-0.0266667
-0.099939892,-0.00666667
-0.099937892,-0.0333333
-0.099935892,-0.0333333
-0.099933892,-0.0266667
-0.099931892,-0.0333333
-0.099929892,0
-0.099927892,-0.0266667
-0.099925892,-0.0266667
-0.099923892,-0.0333333
-0.099921892,-0.0266667
-0.099919892,-0.0666667
-0.099917892,-0.0266667
-0.099915892,-0.0266667
-0.099913892,-0.0266667
-0.099911892,-0.0266667
-0.099909892,0.00666667
-0.099907892,-0.02
-0.099905892,-0.02
-0.099903892,-0.02
-0.099901892,-0.02
-0.099899892,-0.00666667
-0.099897892,-0.00666667
-0.099895892,-0.02
-0.099893892,-0.0133333
-0.099891892,-0.0133333
-0.099889892,0.0266667
-0.099887892,-0.0133333
-0.099885892,-0.0133333
-0.099883892,-0.0133333
-0.099881892,-0.0133333
-0.099879892,-0.02
-0.099877892,-0.00666667
-0.099875892,-0.00666667
-0.099873892,-0.00666667
-0.099871892,-0.00666667
-0.099869892,0.0266667
-0.099867892,-0.00666667
-0.099865892,0
-0.099863892,-0.00666667
-0.099861892,-0.00666667
-0.099859892,0.0133333
-0.099857892,0
-0.099855892,0
-0.099853892,0
-0.099851892,0
-0.099849892,0.0133333
-0.099847892,0
-0.099845892,0.00666667
-0.099843892,0.00666667
-0.099841892,0
-0.099839892,-0.0133333
-0.099837892,0.00666667
-0.099835892,0.00666667
-0.099833892,0.00666667
-0.099831892,0.00666667
-0.099829892,0.0133333
-0.099827892,0.00666667
-0.099825892,0.00666667
-0.099823892,0.0133333
-0.099821892,0.0133333
-0.099819892,0.02
-0.099817892,0.0133333
-0.099815892,0.0133333
-0.099813892,0.0133333
-0.099811892,0.0133333
-0.099809892,0.0133333
-0.099807892,0.02
-0.099805892,0.02
-0.099803892,0.02
-0.099801892,0.02
-0.099799892,0.02
-0.099797892,0.0133333
-0.099795892,0.02
-0.099793892,0.02
-0.099791892,0.02
-0.099789892,0.02
-0.099787892,0.02
-0.099785892,0.0266667
-0.099783892,0.02
-0.099781892,0.0266667
-0.099779892,0.0266667
-0.099777892,0.0333333
-0.099775892,0.0266667
-0.099773892,0.0266667
-0.099771892,0.0333333
-0.099769892,0.0333333
-0.099767892,0.0333333
-0.099765892,0.0333333
-0.099763892,0.0333333
-0.099761892,0.0333333
-0.099759892,0.0333333
-0.099757892,0.0333333
-0.099755892,0.0333333
-0.099753892,0.04
-0.099751892,0.04
-0.099749892,0.04
-0.099747892,0.04
-0.099745892,0.04
-0.099743892,0.04
-0.099741892,0.0466667
-0.099739892,0.0466667
-0.099737892,0.0466667
-0.099735892,0.0466667
-0.099733892,0.0466667
-0.099731892,0.0466667
-0.099729892,0.0466667
-0.099727892,0.0466667
-0.099725892,0.0466667
-0.099723892,0.0533333
-0.099721892,0.0466667
-0.099719892,0.0533333
-0.099717892,0.0533333
-0.099715892,0.0533333
-0.099713892,0.0533333
-0.099711892,0.06
-0.099709892,0.0466667
-0.099707892,0.06
-0.099705892,0.0266667
-0.099703892,0.0466667
-0.099701892,0.06
-0.099699892,0.06
-0.099697892,0.06
-0.099695892,0.0533333
-0.099693892,0.06
-0.099691892,0.0666667
-0.099689892,0.0666667
-0.099687892,0.0666667
-0.099685892,0.0533333
-0.099683892,0.0666667
-0.099681892,0.0666667
-0.099679892,0.0666667
-0.099677892,0.0666667
-0.099675892,0.0733333
-0.099673892,0.0733333
-0.099671892,0.0733333
-0.099669892,0.0733333
-0.099667892,0.0733333
-0.099665892,0.0733333
-0.099663892,0.08
-0.099661892,0.0733333
-0.099659892,0.0733333
-0.099657892,0.08
-0.099655892,0.08
-0.099653892,0.08
-0.099651892,0.08
-0.099649892,0.08
-0.099647892,0.08
-0.099645892,0.1
-0.099643892,0.08
-0.099641892,0.0866667
-0.099639892,0.0866667
-0.099637892,0.0866667
-0.099635892,0.0866667
-0.099633892,0.08
-0.099631892,0.06
-0.099629892,0.0866667
-0.099627892,0.0933333
-0.099625892,0.0866667
-0.099623892,0.0933333
-0.099621892,0.0933333
-0.099619892,0.0866667
-0.099617892,0.0933333
-0.099615892,0.0933333
-0.099613892,0.1
-0.099611892,0.0933333
-0.099609892,0.0933333
-0.099607892,0.1
-0.099605892,0.1
-0.099603892,0.1
-0.099601892,0.1
-0.099599892,0.1
-0.099597892,0.1
-0.099595892,0.1
-0.099593892,0.1
-0.099591892,0.0933333
-0.099589892,0.1
-0.099587892,0.113333
-0.099585892,0.106667
-0.099583892,0.106667
-0.099581892,0.1
-0.099579892,0.106667
-0.099577892,0.08
-0.099575892,0.113333
-0.099573892,0.113333
-0.099571892,0.113333
-0.099569892,0.113333
-0.099567892,0.113333
-0.099565892,0.113333
-0.099563892,0.113333
-0.099561892,0.113333
-0.099559892,0.113333
-0.099557892,0.12
-0.099555892,0.12
-0.099553892,0.12
-0.099551892,0.12
-0.099549892,0.12
-0.099547892,0.12
-0.099545892,0.12
-0.099543892,0.12
-0.099541892,0.12
-0.099539892,0.126667
-0.099537892,0.126667
-0.099535892,0.126667
-0.099533892,0.146667
-0.099531892,0.126667
-0.099529892,0.126667
-0.099527892,0.126667
-0.099525892,0.126667
-0.099523892,0.133333
-0.099521892,0.133333
-0.099519892,0.126667
-0.099517892,0.126667
-0.099515892,0.14
