LECROYWS3024,12427,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,16-Dec-2021 14:15:44,0                 
Time,Ampl
-0.050000621,0.173333
-0.049999621,0.173333
-0.049998621,0.173333
-0.049997621,0.173333
-0.049996621,0.173333
-0.049995621,0.173333
-0.049994621,0.173333
-0.049993621,0.173333
-0.049992621,0.173333
-0.049991621,0.173333
-0.049990621,0.173333
-0.049989621,0.173333
-0.049988621,0.173333
-0.049987621,0.173333
-0.049986621,0.173333
-0.049985621,0.166667
-0.049984621,0.173333
-0.049983621,0.173333
-0.049982621,0.173333
-0.049981621,0.173333
-0.049980621,0.173333
-0.049979621,0.166667
-0.049978621,0.173333
-0.049977621,0.166667
-0.049976621,0.166667
-0.049975621,0.166667
-0.049974621,0.166667
-0.049973621,0.166667
-0.049972621,0.173333
-0.049971621,0.166667
-0.049970621,0.166667
-0.049969621,0.166667
-0.049968621,0.166667
-0.049967621,0.166667
-0.049966621,0.166667
-0.049965621,0.166667
-0.049964621,0.166667
-0.049963621,0.166667
-0.049962621,0.166667
-0.049961621,0.166667
-0.049960621,0.166667
-0.049959621,0.166667
-0.049958621,0.166667
-0.049957621,0.166667
-0.049956621,0.16
-0.049955621,0.166667
-0.049954621,0.16
-0.049953621,0.16
-0.049952621,0.16
-0.049951621,0.16
-0.049950621,0.166667
-0.049949621,0.16
-0.049948621,0.16
-0.049947621,0.16
-0.049946621,0.16
-0.049945621,0.16
-0.049944621,0.16
-0.049943621,0.16
-0.049942621,0.16
-0.049941621,0.16
-0.049940621,0.16
-0.049939621,0.16
-0.049938621,0.16
-0.049937621,0.16
-0.049936621,0.16
-0.049935621,0.16
-0.049934621,0.16
-0.049933621,0.16
-0.049932621,0.16
-0.049931621,0.16
-0.049930621,0.16
-0.049929621,0.16
-0.049928621,0.153333
-0.049927621,0.16
-0.049926621,0.153333
-0.049925621,0.153333
-0.049924621,0.153333
-0.049923621,0.16
-0.049922621,0.16
-0.049921621,0.153333
-0.049920621,0.16
-0.049919621,0.153333
-0.049918621,0.153333
-0.049917621,0.153333
-0.049916621,0.153333
-0.049915621,0.153333
-0.049914621,0.153333
-0.049913621,0.153333
-0.049912621,0.153333
-0.049911621,0.153333
-0.049910621,0.153333
-0.049909621,0.153333
-0.049908621,0.153333
-0.049907621,0.153333
-0.049906621,0.153333
-0.049905621,0.153333
-0.049904621,0.153333
-0.049903621,0.153333
-0.049902621,0.153333
-0.049901621,0.153333
-0.049900621,0.153333
-0.049899621,0.153333
-0.049898621,0.153333
-0.049897621,0.153333
-0.049896621,0.153333
-0.049895621,0.153333
-0.049894621,0.146667
-0.049893621,0.153333
-0.049892621,0.146667
-0.049891621,0.153333
-0.049890621,0.146667
-0.049889621,0.153333
-0.049888621,0.146667
-0.049887621,0.146667
-0.049886621,0.146667
-0.049885621,0.146667
-0.049884621,0.153333
-0.049883621,0.153333
-0.049882621,0.146667
-0.049881621,0.146667
-0.049880621,0.146667
-0.049879621,0.146667
-0.049878621,0.146667
-0.049877621,0.14
-0.049876621,0.146667
-0.049875621,0.146667
-0.049874621,0.146667
-0.049873621,0.146667
-0.049872621,0.146667
-0.049871621,0.146667
-0.049870621,0.146667
-0.049869621,0.146667
-0.049868621,0.146667
-0.049867621,0.146667
