LECROYWS3024,12427,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,16-Dec-2021 15:15:21,0                 
Time,Ampl
-0.050000453,-0.4
-0.049999453,-0.4
-0.049998453,-0.4
-0.049997453,-0.4
-0.049996453,-0.4
-0.049995453,-0.4
-0.049994453,-0.4
-0.049993453,-0.4
-0.049992453,-0.4
-0.049991453,-0.4
-0.049990453,-0.4
-0.049989453,-0.4
-0.049988453,-0.4
-0.049987453,-0.4
-0.049986453,-0.4
-0.049985453,-0.4
-0.049984453,-0.4
-0.049983453,-0.4
-0.049982453,-0.4
-0.049981453,-0.4
-0.049980453,-0.4
-0.049979453,-0.4
-0.049978453,-0.4
-0.049977453,-0.4
-0.049976453,-0.4
-0.049975453,-0.4
-0.049974453,-0.4
-0.049973453,-0.4
-0.049972453,-0.4
-0.049971453,-0.4
-0.049970453,-0.4
-0.049969453,-0.4
-0.049968453,-0.393333
-0.049967453,-0.4
-0.049966453,-0.4
-0.049965453,-0.4
-0.049964453,-0.393333
-0.049963453,-0.393333
-0.049962453,-0.393333
-0.049961453,-0.393333
-0.049960453,-0.393333
-0.049959453,-0.393333
-0.049958453,-0.393333
-0.049957453,-0.393333
-0.049956453,-0.393333
-0.049955453,-0.393333
-0.049954453,-0.386667
-0.049953453,-0.393333
-0.049952453,-0.393333
-0.049951453,-0.393333
-0.049950453,-0.386667
-0.049949453,-0.393333
-0.049948453,-0.393333
-0.049947453,-0.386667
-0.049946453,-0.386667
-0.049945453,-0.386667
-0.049944453,-0.386667
-0.049943453,-0.386667
-0.049942453,-0.393333
-0.049941453,-0.386667
-0.049940453,-0.386667
-0.049939453,-0.386667
-0.049938453,-0.386667
-0.049937453,-0.386667
-0.049936453,-0.386667
-0.049935453,-0.386667
-0.049934453,-0.386667
-0.049933453,-0.386667
-0.049932453,-0.38
-0.049931453,-0.386667
-0.049930453,-0.386667
-0.049929453,-0.386667
-0.049928453,-0.386667
-0.049927453,-0.386667
-0.049926453,-0.386667
-0.049925453,-0.38
-0.049924453,-0.38
-0.049923453,-0.38
-0.049922453,-0.38
-0.049921453,-0.36
-0.049920453,-0.386667
-0.049919453,-0.38
-0.049918453,-0.38
-0.049917453,-0.38
-0.049916453,-0.38
-0.049915453,-0.38
-0.049914453,-0.38
-0.049913453,-0.38
-0.049912453,-0.38
-0.049911453,-0.38
-0.049910453,-0.38
-0.049909453,-0.38
-0.049908453,-0.38
-0.049907453,-0.38
-0.049906453,-0.38
-0.049905453,-0.38
-0.049904453,-0.38
-0.049903453,-0.373333
-0.049902453,-0.373333
-0.049901453,-0.38
-0.049900453,-0.38
-0.049899453,-0.373333
-0.049898453,-0.373333
-0.049897453,-0.373333
-0.049896453,-0.373333
-0.049895453,-0.38
-0.049894453,-0.373333
-0.049893453,-0.373333
-0.049892453,-0.373333
-0.049891453,-0.373333
-0.049890453,-0.3
-0.049889453,-0.373333
-0.049888453,-0.366667
-0.049887453,-0.373333
-0.049886453,-0.366667
-0.049885453,-0.366667
-0.049884453,-0.373333
-0.049883453,-0.366667
-0.049882453,-0.366667
-0.049881453,-0.393333
-0.049880453,-0.366667
-0.049879453,-0.366667
-0.049878453,-0.366667
-0.049877453,-0.366667
-0.049876453,-0.366667
-0.049875453,-0.366667
-0.049874453,-0.366667
-0.049873453,-0.366667
-0.049872453,-0.366667
-0.049871453,-0.366667
-0.049870453,-0.36
-0.049869453,-0.366667
-0.049868453,-0.366667
-0.049867453,-0.366667
-0.049866453,-0.366667
-0.049865453,-0.366667
-0.049864453,-0.366667
-0.049863453,-0.36
-0.049862453,-0.366667
-0.049861453,-0.36
-0.049860453,-0.36
-0.049859453,-0.36
-0.049858453,-0.36
-0.049857453,-0.36
-0.049856453,-0.36
-0.049855453,-0.36
-0.049854453,-0.36
-0.049853453,-0.36
-0.049852453,-0.36
-0.049851453,-0.36
-0.049850453,-0.36
-0.049849453,-0.36
-0.049848453,-0.36
-0.049847453,-0.36
-0.049846453,-0.36
-0.049845453,-0.353333
-0.049844453,-0.36
-0.049843453,-0.353333
-0.049842453,-0.353333
-0.049841453,-0.353333
-0.049840453,-0.353333
-0.049839453,-0.353333
-0.049838453,-0.353333
-0.049837453,-0.353333
-0.049836453,-0.353333
-0.049835453,-0.353333
-0.049834453,-0.353333
-0.049833453,-0.346667
-0.049832453,-0.333333
-0.049831453,-0.353333
-0.049830453,-0.353333
-0.049829453,-0.386667
-0.049828453,-0.353333
-0.049827453,-0.346667
-0.049826453,-0.346667
-0.049825453,-0.346667
-0.049824453,-0.353333
-0.049823453,-0.346667
-0.049822453,-0.346667
-0.049821453,-0.353333
-0.049820453,-0.346667
-0.049819453,-0.346667
-0.049818453,-0.346667
-0.049817453,-0.333333
-0.049816453,-0.346667
-0.049815453,-0.346667
-0.049814453,-0.366667
-0.049813453,-0.346667
-0.049812453,-0.346667
-0.049811453,-0.346667
-0.049810453,-0.346667
-0.049809453,-0.346667
-0.049808453,-0.346667
-0.049807453,-0.346667
-0.049806453,-0.346667
-0.049805453,-0.36
-0.049804453,-0.346667
-0.049803453,-0.34
-0.049802453,-0.346667
-0.049801453,-0.34
-0.049800453,-0.34
-0.049799453,-0.34
-0.049798453,-0.34
-0.049797453,-0.34
-0.049796453,-0.333333
-0.049795453,-0.34
-0.049794453,-0.34
-0.049793453,-0.34
-0.049792453,-0.34
-0.049791453,-0.333333
-0.049790453,-0.333333
-0.049789453,-0.333333
-0.049788453,-0.34
-0.049787453,-0.333333
-0.049786453,-0.333333
-0.049785453,-0.333333
-0.049784453,-0.333333
-0.049783453,-0.333333
-0.049782453,-0.333333
-0.049781453,-0.333333
-0.049780453,-0.333333
-0.049779453,-0.333333
-0.049778453,-0.333333
-0.049777453,-0.333333
-0.049776453,-0.34
-0.049775453,-0.326667
-0.049774453,-0.333333
-0.049773453,-0.326667
-0.049772453,-0.326667
-0.049771453,-0.333333
-0.049770453,-0.333333
-0.049769453,-0.333333
-0.049768453,-0.326667
-0.049767453,-0.326667
-0.049766453,-0.326667
-0.049765453,-0.326667
-0.049764453,-0.326667
-0.049763453,-0.326667
-0.049762453,-0.32
-0.049761453,-0.326667
-0.049760453,-0.326667
-0.049759453,-0.326667
-0.049758453,-0.326667
-0.049757453,-0.326667
-0.049756453,-0.326667
-0.049755453,-0.326667
-0.049754453,-0.326667
-0.049753453,-0.326667
-0.049752453,-0.326667
-0.049751453,-0.32
-0.049750453,-0.326667
-0.049749453,-0.326667
-0.049748453,-0.326667
-0.049747453,-0.326667
-0.049746453,-0.326667
-0.049745453,-0.313333
-0.049744453,-0.32
-0.049743453,-0.326667
-0.049742453,-0.32
-0.049741453,-0.32
-0.049740453,-0.32
-0.049739453,-0.32
-0.049738453,-0.32
-0.049737453,-0.32
-0.049736453,-0.32
-0.049735453,-0.32
-0.049734453,-0.32
-0.049733453,-0.32
-0.049732453,-0.326667
-0.049731453,-0.32
-0.049730453,-0.32
-0.049729453,-0.326667
-0.049728453,-0.32
-0.049727453,-0.32
-0.049726453,-0.313333
-0.049725453,-0.32
-0.049724453,-0.32
-0.049723453,-0.32
-0.049722453,-0.313333
-0.049721453,-0.32
-0.049720453,-0.32
-0.049719453,-0.313333
-0.049718453,-0.313333
-0.049717453,-0.313333
-0.049716453,-0.313333
-0.049715453,-0.313333
-0.049714453,-0.313333
-0.049713453,-0.313333
-0.049712453,-0.313333
-0.049711453,-0.36
-0.049710453,-0.32
-0.049709453,-0.313333
-0.049708453,-0.313333
-0.049707453,-0.313333
-0.049706453,-0.313333
-0.049705453,-0.313333
-0.049704453,-0.313333
-0.049703453,-0.313333
-0.049702453,-0.306667
-0.049701453,-0.306667
-0.049700453,-0.306667
-0.049699453,-0.306667
-0.049698453,-0.306667
-0.049697453,-0.313333
-0.049696453,-0.306667
-0.049695453,-0.306667
-0.049694453,-0.306667
-0.049693453,-0.306667
-0.049692453,-0.306667
-0.049691453,-0.306667
-0.049690453,-0.306667
-0.049689453,-0.306667
-0.049688453,-0.306667
-0.049687453,-0.306667
-0.049686453,-0.306667
-0.049685453,-0.306667
-0.049684453,-0.306667
-0.049683453,-0.3
-0.049682453,-0.306667
-0.049681453,-0.306667
-0.049680453,-0.306667
-0.049679453,-0.313333
-0.049678453,-0.3
-0.049677453,-0.306667
-0.049676453,-0.3
-0.049675453,-0.326667
-0.049674453,-0.3
-0.049673453,-0.3
-0.049672453,-0.3
-0.049671453,-0.3
-0.049670453,-0.3
-0.049669453,-0.3
-0.049668453,-0.3
-0.049667453,-0.3
-0.049666453,-0.3
-0.049665453,-0.3
-0.049664453,-0.3
-0.049663453,-0.3
-0.049662453,-0.3
-0.049661453,-0.3
-0.049660453,-0.286667
-0.049659453,-0.293333
-0.049658453,-0.293333
-0.049657453,-0.293333
-0.049656453,-0.293333
-0.049655453,-0.286667
-0.049654453,-0.293333
-0.049653453,-0.293333
-0.049652453,-0.293333
-0.049651453,-0.293333
-0.049650453,-0.293333
-0.049649453,-0.293333
-0.049648453,-0.293333
-0.049647453,-0.293333
-0.049646453,-0.293333
-0.049645453,-0.293333
-0.049644453,-0.293333
-0.049643453,-0.286667
-0.049642453,-0.286667
-0.049641453,-0.286667
-0.049640453,-0.286667
-0.049639453,-0.286667
-0.049638453,-0.286667
-0.049637453,-0.286667
-0.049636453,-0.286667
-0.049635453,-0.286667
-0.049634453,-0.286667
-0.049633453,-0.286667
-0.049632453,-0.286667
-0.049631453,-0.286667
-0.049630453,-0.286667
-0.049629453,-0.293333
-0.049628453,-0.286667
-0.049627453,-0.28
-0.049626453,-0.286667
-0.049625453,-0.28
-0.049624453,-0.286667
-0.049623453,-0.28
-0.049622453,-0.293333
-0.049621453,-0.28
-0.049620453,-0.28
-0.049619453,-0.28
-0.049618453,-0.28
-0.049617453,-0.28
-0.049616453,-0.28
-0.049615453,-0.286667
-0.049614453,-0.28
-0.049613453,-0.28
-0.049612453,-0.28
-0.049611453,-0.28
-0.049610453,-0.28
-0.049609453,-0.28
-0.049608453,-0.28
-0.049607453,-0.273333
-0.049606453,-0.28
-0.049605453,-0.28
-0.049604453,-0.28
-0.049603453,-0.273333
-0.049602453,-0.28
-0.049601453,-0.273333
-0.049600453,-0.273333
-0.049599453,-0.273333
-0.049598453,-0.273333
-0.049597453,-0.253333
-0.049596453,-0.273333
-0.049595453,-0.273333
-0.049594453,-0.266667
-0.049593453,-0.273333
-0.049592453,-0.273333
-0.049591453,-0.273333
-0.049590453,-0.273333
-0.049589453,-0.273333
-0.049588453,-0.266667
-0.049587453,-0.273333
-0.049586453,-0.266667
-0.049585453,-0.266667
-0.049584453,-0.313333
-0.049583453,-0.266667
-0.049582453,-0.266667
-0.049581453,-0.266667
-0.049580453,-0.266667
-0.049579453,-0.266667
-0.049578453,-0.266667
-0.049577453,-0.266667
-0.049576453,-0.266667
-0.049575453,-0.266667
-0.049574453,-0.266667
-0.049573453,-0.266667
-0.049572453,-0.266667
-0.049571453,-0.266667
-0.049570453,-0.266667
-0.049569453,-0.266667
-0.049568453,-0.26
-0.049567453,-0.26
-0.049566453,-0.266667
-0.049565453,-0.26
-0.049564453,-0.26
-0.049563453,-0.26
-0.049562453,-0.26
-0.049561453,-0.26
-0.049560453,-0.213333
-0.049559453,-0.26
-0.049558453,-0.26
-0.049557453,-0.26
-0.049556453,-0.26
-0.049555453,-0.26
-0.049554453,-0.26
-0.049553453,-0.26
-0.049552453,-0.26
-0.049551453,-0.26
-0.049550453,-0.253333
-0.049549453,-0.246667
-0.049548453,-0.253333
-0.049547453,-0.253333
-0.049546453,-0.26
-0.049545453,-0.253333
-0.049544453,-0.253333
-0.049543453,-0.246667
-0.049542453,-0.253333
-0.049541453,-0.253333
-0.049540453,-0.253333
-0.049539453,-0.24
-0.049538453,-0.253333
-0.049537453,-0.253333
-0.049536453,-0.253333
-0.049535453,-0.253333
-0.049534453,-0.253333
-0.049533453,-0.253333
-0.049532453,-0.253333
-0.049531453,-0.246667
-0.049530453,-0.246667
-0.049529453,-0.246667
-0.049528453,-0.266667
-0.049527453,-0.246667
-0.049526453,-0.246667
-0.049525453,-0.246667
-0.049524453,-0.246667
-0.049523453,-0.246667
-0.049522453,-0.233333
-0.049521453,-0.246667
-0.049520453,-0.246667
-0.049519453,-0.246667
-0.049518453,-0.24
-0.049517453,-0.246667
-0.049516453,-0.24
-0.049515453,-0.246667
-0.049514453,-0.24
-0.049513453,-0.24
